required_mean_speed_kmh,proxy_energy_MJ_per_passenger,non_airborne_minutes,airborne_minutes,routing_margin,L_over_D_screen,allocated_mass_kg
80887.43647013027,1685.939955737933,52.04765030498659,7.95234969501341,0.12937869862434542,10.97073418590962,92.1642719062704
,4847.913332813284,62.118101170504524,-2.1181011705045236,0.1221856789725782,5.80543386732549,162.43823902461423
211178.5754225239,3269.095540320406,56.74758225610355,3.2524177438964514,0.20592202909665835,5.151312556350088,104.42736788357705
485513.5509896262,4404.234714818839,58.76814778899776,1.2318522110022414,0.05008151686300907,7.028283214583122,152.5575076062126
143268.94419003418,6755.47065607061,55.62428708638778,4.375712913612219,0.10068724062063308,6.724506027314864,165.57978976541702
,5201.658281161826,62.550429659610394,-2.550429659610394,0.04000053353249719,4.043840385600402,123.16461915628332
,6062.668732032795,66.62831341101598,-6.628313411015981,0.019539509698612595,6.042175031143931,177.06395996184392
,1682.3693391112374,62.06473598446774,-2.064735984467738,0.1633300448193319,11.912081985445989,135.72335278742543
95645.8935852807,3236.4820150188593,53.51650551426599,6.483494485734013,0.08877596678140509,7.98053020624057,159.01854509354203
,3330.8840961853484,60.88326551772005,-0.8832655177200479,0.08283714887188434,6.804349502862649,153.3924494396677
72255.22799833587,4263.503600085366,52.114461128339684,7.885538871660317,0.0003770129072133144,4.338990582910019,122.87728326277932
46673.44909053814,5790.656598352517,46.01686793804086,13.98313206195914,0.14587542673850565,7.096155635640025,144.4043599896358
2704873.8375777267,1728.305995987319,59.77177233475395,0.22822766524605242,0.08387288511892377,10.966151881046168,133.407150831
,4026.5494924969485,61.14852920528876,-1.1485292052887601,0.06658548121381616,8.186408484094425,155.78289048304984
,2996.8230937455373,66.00866096054118,-6.008660960541178,0.12945490860749712,5.295526802412711,94.43216819701865
,5499.387872048394,64.08336434738983,-4.083364347389832,0.13014149461379954,5.315722368551027,108.9766219113666
62192.09598241185,5334.223760395437,49.800622777272764,10.199377222727236,0.11370943535607742,6.755206093037567,130.19573634793238
,9062.779433570924,66.84056436397982,-6.840564363979823,0.22316463890744911,4.3732437311040915,133.61359287519454
389022.60057327966,5247.895620974247,58.364282135762664,1.6357178642373356,0.11723949694220201,7.192764271106407,165.07653813932862
,5378.3197940114605,64.90208526250882,-4.90208526250882,0.22384687511783338,4.291629571286989,94.17215485001547
620871.0072721957,4819.871003527045,59.00580411999964,0.9941958800003617,0.08376816631565387,7.584132711477037,132.6087269538831
106794.01962815723,2738.2905182866525,54.346993675770946,5.653006324229054,0.059959949157282005,9.416337602019562,168.26139248214633
,2898.079200082655,61.027509238768445,-1.0275092387684452,0.0938740822439495,11.056529151606268,157.44308921312177
317188.33354408643,4807.839262825288,58.19035088351614,1.809649116483861,0.007800643693323311,4.389127816237096,117.32135906402777
,5487.096841609896,65.67750083510823,-5.6775008351082334,0.16259182411379508,6.351492224972164,165.78094942817881
,3390.8760623131907,68.90674957617924,-8.906749576179237,0.061663712947694516,4.156081795435725,93.88519251440769
95984.30110196237,3666.829718950646,53.292232155534194,6.707767844465806,0.1304237706667278,4.471994815688766,106.00279927397062
2577882.0007105083,2077.5266564952663,59.77869145768676,0.22130854231323838,0.0016690682874025975,10.871909327540301,98.70144627394104
351679.7051170291,1836.5175530967997,58.32573223335989,1.6742677666401065,0.03379701499739221,9.372553050428003,116.08740806330187
